0:18   -   https://shop.mango.com/co/mujer/destacados/rebajas_d14760544
      + 0:18:42   -   Camisa algodón cuello babydoll
      + 0:18:42   -   Vestido pliegues fluido
      + 0:18:42   -   Chaqueta oversize algodón
      + 0:18:42   -   Pantalón 100% lyocell
      + 0:18:42   -   Pantalón 100% lyocell
      + 0:18:42   -   Abrigo cruzado textura
      + 0:18:42   -   Vestido detalles plisados
      + 0:18:42   -   Vestido estampado paisley
      + 0:18:42   -   Chaleco algodón cruzado
      + 0:18:42   -   Minifalda efecto piel
      + 0:18:42   -   Pantalón jogger algodón
      + 0:18:42   -   Pantalón recto efecto piel
      + 0:18:42   -   Camisa algodón cuello babydoll
      + 0:18:42   -   Jersey espalda cruzada
      + 0:18:42   -   Sudadera algodón cuello chimenea
      + 0:18:42   -   Camisa denim algodón
      + 0:18:42   -    Camiseta hombreras algodón orgánico
      + 0:18:42   -   Cárdigan punto combinado relieve
      + 0:18:42   -   Cárdigan punto botones
      + 0:18:42   -   Chaleco tweed bolsillos
      + 0:18:42   -   Blusa textura lazo
      + 0:18:42   -   Sandalia cuña tiras
      + 0:18:42   -   Americana efecto piel cruzada
      + 0:18:42   -   Blusa fluida estampada
      + 0:18:42   -   Vestido camisero cinturón
      + 0:18:43   -   Vestido fluido estampado
      + 0:18:43   -   Cárdigan rayas botones
      + 0:18:43   -   Trench lyocell fluido
      + 0:18:43   -   Pantalón pitillo traje
      + 0:18:43   -   Vestido punto lurex
      + 0:18:43   -   Cárdigan punto relieve
      + 0:18:43   -   Sudadera oversize algodón 
      + 0:18:43   -   Vestido estampado floral
      + 0:18:43   -   Jeans skinny push-up Kim
      + 0:18:43   -   Pantalón fluido plisado
      + 0:18:43   -   Vestido estampado tirantes
      + 0:18:43   -   Blusa estampado floral
      + 0:18:43   -   Camiseta algodón calados
      + 0:18:43   -   Americana traje estructura
      + 0:18:43   -   Americana traje estructura
      + 0:18:43   -   Jeans Balloon tiro alto
      + 0:18:43   -   Pantalón jogger punto
      + 0:18:43   -   Vestido hombreras textura
      + 0:18:43   -   Pantalón recto efecto piel
      + 0:18:43   -   Jersey punto algodón
      + 0:18:43   -   Mono estampado lunares
      + 0:18:43   -   Body canalé manga larga
      + 0:18:43   -   Vestido textura volante
      + 0:18:44   -   Blusa fruncida calados
      + 0:18:44   -   Vestido estampado floral volante
      + 0:18:44   -   Vestido fluido plisado
      + 0:18:44   -   Jersey rayas algodón
      + 0:18:44   -   Sobrecamisa lana oversize
      + 0:18:44   -   Jeans tiro alto Wideleg
      + 0:18:44   -   Jeans tiro alto Wideleg
      + 0:18:44   -   Camisa popelín oversize
      + 0:18:44   -   Abrigo lana oversize
      + 0:18:44   -   Pantalón estampado tropical
      + 0:18:44   -   Top crop fruncido
      + 0:18:44   -   Blusa algodón orgánico calados
      + 0:18:44   -   Sandalia piel plataforma
      + 0:18:44   -   Botín piel tacón
      + 0:18:44   -   Camisa popelín oversize
      + 0:18:44   -   Jersey cuello cremallera
      + 0:18:44   -   Sobrecamisa cuadros oversize
      + 0:18:44   -   Mono cinturón lunares
      + 0:18:44   -   Pantalón modal cintura elástica
      + 0:18:44   -   Vestido floral volante
      + 0:18:44   -   Sobrecamisa lyocell bolsillos
      + 0:18:44   -   Americana estampado tropical
      + 0:18:44   -   Botín piel serraje
      + 0:18:44   -   Vestido lino volantes
      + 0:18:44   -   Camiseta jaspeada manga larga
      + 0:18:44   -   Sobrecamisa charol bolsillos
      + 0:18:44   -   Americana cruzada lino
      + 0:18:44   -   Pantalón pitillo traje
      + 0:18:44   -   Blusa algodón plumeti
      + 0:18:44   -   Polo calado
      + 0:18:44   -   Vestido estampado midi
      + 0:18:44   -   Vestido plisado estampado
      + 0:18:44   -   Camiseta cuello alto
      + 0:18:44   -   Pantalón recto fluido
      + 0:18:44   -   Bota alta tacón
      + 0:18:44   -   Vestido lino volantes
      + 0:18:44   -   Blusa algodón bordado suizo
      + 0:18:44   -   Vestido pliegues fluido
      + 0:18:44   -   Vestido textura algodón
      + 0:18:44   -   Vestido pliegues fluido
      + 0:18:44   -   Pantalón terciopelo acampanado
      + 0:18:45   -   Camisa algodón manga acampanada
      + 0:18:45   -   Vestido escote cruzado
      + 0:18:45   -   Pantalón 100% lino
      + 0:18:45   -   Pantalón recto cintura elástica
      + 0:18:45   -   Camisa estampada fluida
      + 0:18:45   -   Vestido estampado cinturón
      + 0:18:45   -   Pantalón terciopelo acampanado
      + 0:18:45   -   Vestido corto plisado
      + 0:18:45   -   Camisa algodón crop
      + 0:18:45   -   Blusa cuello babydoll
      + 0:18:45   -   Pantalón algodón detalle pinzas
      + 0:18:45   -   Americana traje estructurada
      + 0:18:45   -   Jeans skinny tiro alto Soho  
      + 0:18:45   -   Blusa cuello fruncido
      + 0:18:45   -   Cárdigan punto algodón lino 
      + 0:18:45   -   Falda charol lápiz
